time,R,phase_diff,phase_a,phase_b
42.3,0.9993723247982715,-0.07086555583156413,-0.20004148143266626,-0.12917592560110217
42.31,0.9995481096063502,-0.060128158588545595,-0.14467813313937686,-0.08454997455083124
42.32,0.9997218554338682,-0.0471726582803933,-0.08697796578737944,-0.039805307506986146
42.33,0.9998714230308835,-0.03207238370318789,-0.025899252738796858,0.006173130964391036
42.34,0.999909484924097,-0.026909692147234068,0.03760091725019012,0.06451060939742419
42.35,0.9999795420078589,-0.012793142505762072,0.10439378257724351,0.11718692508300557
42.36,0.9999998444750008,0.0011154371459528216,0.1734934497637876,0.1723780126178348
42.37,0.9999892003466309,0.009295019228740969,0.24555907982771227,0.23626406059897131
42.38,0.9998936871229845,0.02916364323016049,0.31953722813621793,0.2903735849060574
42.39,0.9997295521026731,0.04651538141735074,0.3958439448139735,0.3493285633966228
42.4,0.9996359430729833,0.05396880719347736,0.4733409699783304,0.419372162784853
42.41,0.9994851686069929,0.06417947175226621,0.5522044320015154,0.48802496024924913
42.42,0.999251772541096,0.07737290403825423,0.6312397824599312,0.553866878421677
42.43,0.9990299318167286,0.08810108115427964,0.7104407191249508,0.6223396379706712
42.44,0.9989069051932954,0.09352193357637494,0.7886403919727456,0.6951184583963708
42.45,0.9984185808363274,0.11249306303825636,0.8657556069728214,0.753262543934565
42.46,0.9982532261556908,0.11822969568764162,0.9407613390171752,0.8225316433295335
42.47,0.9979361641104121,0.12851602806322648,1.0136086981626025,0.885092670099376
42.48,0.9976562262199544,0.13695809282028484,1.083506353193162,0.946548260372877
42.49,0.9974328732595588,0.14333808564587686,1.1505055263399893,1.0071674406941125
42.5,0.997408743233459,0.14401046190955727,1.2140798369668282,1.070069375057271
42.51,0.9970288561064893,0.15421067000704008,1.274383348057174,1.120172678050134
42.52,0.9971672703410019,0.15057404990409373,1.3311296769150527,1.180555627010959
42.53,0.9967560196405928,0.16113933795698904,1.3845374614756767,1.2233981235186877
42.54,0.9967650360700177,0.16091512300431046,1.4345106525191904,1.27359552951488
42.55,0.9968451841626114,0.15890817587100114,1.4812857467145364,1.3223775708435352
42.56,0.9966542588559036,0.16364861073401957,1.5249099084456208,1.3612612977116012
42.57,0.9965606463487799,0.16592352423975432,1.5656013381540854,1.399677813914331
42.58,0.9962803939074139,0.17255525014619755,1.6035163596371746,1.430961109490977
42.59,0.9965376755583742,0.1664770071038817,1.63883285748874,1.4723558503848584
42.6,0.9963239287990786,0.1715418470529955,1.67179422907956,1.5002523820265645
42.61,0.9961823808433883,0.17481534643137708,1.7025263458306408,1.5277109993992637
42.62,0.996075844077273,0.177239388664318,1.7313449002562562,1.5541055115919382
42.63,0.9957911837639508,0.18355973218116683,1.7583176057264107,1.5747578735452439
42.64,0.9958306688606471,0.18269606641034852,1.7838211383051386,1.60112507189479
42.65,0.995809535990673,0.18315881521629726,1.8078612661055657,1.6247024508892685
42.66,0.9955331849550542,0.18910620122691427,1.8308658969260871,1.641759695699173
42.67,0.9955213870254681,0.18935596042403535,1.852776011838571,1.6634200514145356
42.68,0.9950439325470489,0.19920173973968724,1.8740621950378555,1.6748604552981683
42.69,0.9953772019654092,0.19238220587337393,1.8945984898931811,1.7022162840198072
42.7,0.995376628543042,0.19239414647547018,1.9148911972310523,1.7224970507555821
42.71,0.9950005637522636,0.200072137740088,1.934746155338615,1.734674017598527
42.72,0.9947514297846061,0.2050008370806271,1.9547005021207307,1.7496996650401035
42.73,0.9947699390143188,0.2046387309895714,1.9744916216759636,1.7698528906863922
42.74,0.9939667307959208,0.21980620021298805,1.9946848674864468,1.7748786672734587
42.75,0.9940464442196821,0.21834784447141525,2.014949793809392,1.7966019493379768
42.76,0.9940600713581749,0.21809756409264108,2.0358793768252763,1.8177818127326353
42.77,0.9932642582577516,0.23226393705166704,2.0570764201432272,1.8248124830915602
